,id,name,description,modified,available_comics,available_series,year,year_tags
0,1017100,A-Bomb (HAS),"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ",2013-09-18,4,2,2013-01-01,2010-2017
1,1009144,A.I.M.,AIM is a terrorist organization bent on destroying the world.,2013-10-17,52,34,2013-01-01,2010-2017
2,1010699,Aaron Stack,,1969-12-31,14,3,1969-01-01,1969
3,1009146,Abomination (Emil Blonsky),"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",2012-03-20,53,26,2012-01-01,2010-2017
4,1016823,Abomination (Ultimate),,2012-07-10,2,2,2012-01-01,2010-2017
5,1009148,Absorbing Man,,2013-10-24,96,48,2013-01-01,2010-2017
6,1009149,Abyss,,2014-04-29,8,3,2014-01-01,2010-2017
7,1010903,Abyss (Age of Apocalypse),,1969-12-31,3,3,1969-01-01,1969
9,1010354,Adam Warlock,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.,2013-08-07,188,82,2013-01-01,2010-2017
11,1017851,Aero (Aero),,2021-08-27,23,5,2021-01-01,2020-2021
12,1012717,Agatha Harkness,,2021-08-06,19,9,2021-01-01,2020-2021
13,1011297,Agent Brand,,2013-10-24,24,6,2013-01-01,2010-2017
14,1011031,Agent X (Nijo),"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",1969-12-31,18,3,1969-01-01,1969
15,1009150,Agent Zero,,1969-12-31,28,9,1969-01-01,1969
16,1011198,Agents of Atlas,,2016-02-03,45,13,2016-01-01,2010-2017
18,1011136,Air-Walker (Gabriel Lan),,1969-12-31,4,3,1969-01-01,1969
19,1011176,Ajak,,1969-12-31,4,1,1969-01-01,1969
20,1011456,Balder,,2021-08-13,98,28,2021-01-01,2020-2021
21,1009168,Banshee,,2013-11-01,177,50,2013-01-01,2010-2017
22,1009596,Banshee (Theresa Rourke),"The daughter of former X-Men member Sean Cassidy, a.k.a. Banshee, and Maeve Rourke, Theresa Rourke was raised by her first cousin once removed, mutant terrorist Thomas Cassidy, a.k.a. Black Tom.",2011-03-23,154,30,2011-01-01,2010-2017
23,1011778,Baron Mordo (Karl Mordo),"Born in 1921, Karl Mordo was the son of Nikolai Mordo.  He vowed that, as the second Baron Mordo, he would achieve his father’s hopes and more.",2021-08-12,19,11,2021-01-01,2020-2021
24,1009169,Baron Strucker,,2012-03-20,44,19,2012-01-01,2010-2017
25,1009170,Baron Zemo (Heinrich Zemo),,2017-08-24,37,23,2017-01-01,2010-2017
26,1010906,Baron Zemo (Helmut Zemo),,2011-02-24,32,16,2011-01-01,2010-2017
27,1011137,Baroness S'Bak,,1969-12-31,1,1,1969-01-01,1969
28,1011354,Barracuda,,1969-12-31,5,4,1969-01-01,1969
30,1009171,Bastion,,2013-10-24,37,20,2013-01-01,2010-2017
31,1009172,Batroc the Leaper,,2011-03-03,30,15,2011-01-01,2010-2017
32,1009173,Battering Ram,,1969-12-31,2,2,1969-01-01,1969
33,1011785,Battlestar,Lamar Hoskins was once a wrestler who was given superhuman strength by the Power Broker.,2021-08-12,9,4,2021-01-01,2020-2021
34,1009174,Beak,,2011-06-01,17,5,2011-01-01,2010-2017
35,1009175,Beast,,2014-01-13,818,218,2014-01-01,2010-2017
37,1010908,Beast (Ultimate),,2014-03-05,49,10,2014-01-01,2010-2017
39,1009177,Bedlam,,1969-12-31,8,6,1969-01-01,1969
40,1009214,Cable,,2016-03-28,435,117,2016-01-01,2010-2017
41,1017317,Cable (Deadpool),,2013-09-18,38,10,2013-01-01,2010-2017
43,1011252,Cable (Ultimate),,2014-03-05,2,1,2014-01-01,2010-2017
45,1011209,Calamity,,1969-12-31,11,2,1969-01-01,1969
46,1009216,Caliban,,2013-12-26,70,16,2013-01-01,2010-2017
47,1009217,Callisto,,1969-12-31,36,10,1969-01-01,1969
48,1010912,Callisto (Age of Apocalypse),,2014-04-29,1,1,2014-01-01,2010-2017
49,1009218,Calypso,,1969-12-31,6,3,1969-01-01,1969
50,1011139,Cammi,,1969-12-31,4,3,1969-01-01,1969
51,1009219,Cannonball,,2013-07-01,287,77,2013-01-01,2010-2017
